site,yr
SE-Deg,2004
SE-Deg,2005
SE-Faj,2005
SE-Faj,2006
SE-Fla,1996
SE-Fla,1997
SE-Fla,1998
SE-Fla,2000
SE-Fla,2001
SE-Fla,2002
SE-Nor,1996
SE-Nor,1997
SE-Nor,1998
SE-Nor,1999
SE-Nor,2003
SE-Nor,2005
SE-Sk1,2005
SE-Sk2,2004
SE-Sk2,2005
SK-Tat,2005
UK-AMo,2005
UK-EBu,2004
UK-EBu,2006
UK-ESa,2003
UK-ESa,2004
UK-ESa,2005
UK-Gri,1997
UK-Gri,1998
UK-Gri,2000
UK-Gri,2001
UK-Gri,2005
UK-Gri,2006
UK-Ham,2004
UK-Ham,2005
UK-Her,2006
UK-PL3,2005
UK-PL3,2006
UK-Tad,2001
US-ARM,2003
US-ARM,2004
US-ARM,2005
US-ARM,2006
US-Aud,2002
US-Aud,2003
US-Aud,2004
US-Aud,2005
US-Aud,2006
US-Bar,2004
US-Bar,2005
US-Bkg,2004
US-Bkg,2005
US-Bkg,2006
US-Blo,1997
US-Blo,1998
US-Blo,1999
US-Blo,2000
US-Blo,2001
US-Blo,2002
US-Blo,2003
US-Blo,2004
US-Blo,2005
US-Blo,2006
US-Bo1,1996
US-Bo1,1997
US-Bo1,1998
US-Bo1,1999
US-Bo1,2000
US-Bo1,2001
US-Bo1,2002
US-Bo1,2003
US-Bo1,2004
US-Bo1,2005
US-Bo1,2006
US-Bo1,2007
US-FPe,2000
US-FPe,2001
US-FPe,2002
US-FPe,2003
US-FPe,2004
US-FPe,2005
US-FPe,2006
US-Goo,2002
US-Goo,2003
US-Goo,2004
US-Goo,2005
US-Goo,2006
US-Ha1,1991
US-Ha1,1992
US-Ha1,1993
US-Ha1,1994
US-Ha1,1995
US-Ha1,1996
US-Ha1,1997
US-Ha1,1998
US-Ha1,1999
US-Ha1,2000
US-Ha1,2001
US-Ha1,2002
US-Ha1,2003
US-Ha1,2004
US-Ha1,2005
US-Ha1,2006
US-Ho1,1996
US-Ho1,1997
US-Ho1,1998
US-Ho1,1999
US-Ho1,2000
US-Ho1,2001
US-Ho1,2002
US-Ho1,2003
US-Ho1,2004
US-Ho2,1999
US-Ho2,2000
US-Ho2,2001
US-Ho2,2002
US-Ho2,2003
US-Ho2,2004
US-Los,2001
US-Los,2002
US-Los,2003
US-Los,2004
US-Los,2005
US-Me4,1996
US-Me4,1997
US-Me4,1998
US-Me4,1999
US-Me4,2000
US-MMS,1999
US-MMS,2000
US-MMS,2001
US-MMS,2002
US-MMS,2003
US-MMS,2004
US-MMS,2005
US-MOz,2004
US-MOz,2005
US-MOz,2006
US-Ne1,2001
US-Ne1,2002
US-Ne1,2003
US-Ne1,2004
US-Ne1,2005
US-Ne2,2001
US-Ne2,2002
US-Ne2,2003
US-Ne2,2004
US-Ne2,2005
US-Ne3,2001
US-Ne3,2002
US-Ne3,2003
US-Ne3,2004
US-Ne3,2005
US-Oho,2004
US-Oho,2005
US-PFa,1996
US-PFa,1997
US-PFa,1998
US-PFa,1999
US-PFa,2000
US-PFa,2003
US-SP1,2000
US-SP1,2001
US-SP1,2005
US-SP2,1998
US-SP2,1999
US-SP2,2000
US-SP2,2001
US-SP2,2002
US-SP2,2003
US-SP2,2004
US-SP3,1999
US-SP3,2000
US-SP3,2001
US-SP3,2002
US-SP3,2003
US-SP3,2004
US-SP4,1998
US-Syv,2002
US-Syv,2003
US-Syv,2004
US-Syv,2005
US-Syv,2006
US-Ton,2001
US-Ton,2002
US-Ton,2003
US-Ton,2004
US-Ton,2005
US-Ton,2006
US-UMB,1999
US-UMB,2000
US-UMB,2001
US-UMB,2002
US-UMB,2003
US-Var,2001
US-Var,2002
US-Var,2003
US-Var,2004
US-Var,2005
US-Var,2006
US-WBW,1995
US-WBW,1996
US-WBW,1997
US-WBW,1998
US-WBW,1999
US-WCr,1999
US-WCr,2000
US-WCr,2001
US-WCr,2002
US-WCr,2003
US-WCr,2004
US-WCr,2005
US-WCr,2006
US-Wi0,2002
US-Wi1,2003
US-Wi2,2003
US-Wi4,2002
US-Wi4,2003
US-Wi4,2004
US-Wi4,2005
US-Wi5,2004
US-Wi6,2002
US-Wi7,2005
US-Wi8,2002
US-Wi9,2004
US-Wi9,2005
ZA-Kru,2001
ZA-Kru,2002
ZA-Kru,2003
