sitename,longname,country, Years Of Data,AG_NPP,ASA,CLIMATE,,,DEP_N,,,ELEV,FOL_N,HEIGHTC,IGBP,LAI,LAI_U,LAT,LMA,LONG,MaxSA,MinSA,PRECIP,TA,,,YEAR_PLANTED,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,SOIL_BD,SOIL_C,,SOIL_PH,,SOIL_THICKNESS,AG_BIOMASS,SOIL_C,,SOIL_DEPTH,SOIL_TYPE,SOIL_WATER_CAP
,,,Site Years in Synthesis Dataset,Aboveground net primary productivity,Average stand age,Climate group,Climate Koeppen classification,,Foliage nitrogen deposition (dry),Foliage nitrogen deposition (total),Foliage nitrogen deposition (wet),Elevation (text),Foliage nitrogen concentration,Canopy height (text),IGBP Class,Leaf Area Index,Understory Leaf Area Index,Latitude,Leaf mass per unit leaf area,Longitude,Maximum stand age,Minimum stand years,Precipitation (local climate),Air Temperature (avg local climate),Air Temperature (max local climate),Air Temperature (min local climate),Year replanted,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Soil bulk density,Soil Carbon stock,Soil Carbon stock (mg g-1),Soil PH (CaCl2),Soil PH (H2O),Soil horizon or layer thickness,Aboveground biomass,Soil Carbon stock,Soil Carbon stock (%),Soil depth,Soil type,Soil water holding capacity
,,,(none),(none),(none),_group,_KOEPPEN_406,,_dry,_total,_wet,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),_locclim,_avg_locclim,_max_locclim,_min_locclim,(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),_mg_g-1,_CaCl2,_H2O,(none),(none),(none),_PERC,(none),(none),(none)
CA-Ca3,British Columbia- Campbell River - Young Plantation Site,Canada,5,,18,Temperate,Cfb,,,,,,,,ENF,3.0-6.7,3.67,49.5346,,-124.9,,,1675.76,9.94,13.41,6.11,1988,Gravelly loam,Gravelly loam,Gravelly loam,,,2.1-10.5,,,,Gravelly loam,0.15,Gravelly loam,Gravelly loam,Gravelly loam,,,,,,,Gravelly loam,,,360-556,360-556,,,0.019-0.115,0.8-2.1,,,,Humoferric Podzols,
CA-Gro,Ontario- Groundhog River-Mat. Boreal Mixed Wood,Canada,3,,74,Temperate-Continental with hot or warm summers,Dfb,,,,,,,,MF,4.3,,48.2167,,-82.1556,,,822.64,1.58,8.15,-5.31,1931,silty very fine sand,silty very fine sand,silty very fine sand,,,,,,,silty very fine sand,,silty very fine sand,silty very fine sand,silty very fine sand,,,,,,,silty very fine sand,,,,,,,0.15,8.2-12.2,,,1,,
CA-Let,Lethbridge,Canada,8,,,Temperate-Continental with hot or warm summers,Dfb,,,,,960,,,GRA,0.803,,49.7093,,-112.94,,,398.4,5.36,12,-1.29,,31.2,22.8,40,1.24,,2.51,,,,,0.09,40,27.4,29.6,,,,,,,,0.16,,,,,,,0.172634,,,,othic dark-brown Chernozems,
CA-Man,BOREAS NSA - Old Black Spruce,Canada,9,0.247,167,Boreal,Dfc,,,,,259,7.9,,ENF,4.2,,55.8796,,-98.4808,,,,,,,1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3-0.5,10.2,4.3-27.9,,,peaty-phase orthic gleysol,
CA-Mer,Eastern Peatland- Mer Bleue,Canada,8,0.340,,Temperate-Continental with hot or warm summers,Dfb,,,,,70,,,OSH,1.3,,45.4094,192,-75.5186,,,890.62,6.07,10.75,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487,,,5-6,,
CA-NS1,UCI-1850 burn site,Canada,4,0.308,154,Boreal,Dfc,,,,,260,6.575,,ENF,5.68,0.52,55.8792,941.957,-98.4839,,,500.29,-2.89,,,1850,73.5,2,24.5,0.7,7.57,,5.4,,,,0.03,53.7,0.5,18.1,0.72,6.38,,7,,,,0.03,0.05,2.58,,,,0.11,9,16.53,,0.17,,
CA-NS2,UCI-1930 burn site,Canada,5,0.352,74,Boreal,Dfc,,,,,260,6.575,,ENF,7.8,1.017,55.9058,1293.53,-98.5247,,,499.82,-2.88,2.54,-7.92,1930,55.5,1.2,43.2,0.93,4.63,,6.2,,,,0.18,,,,1.08,4.56,,,,,,0.36,0.08,3.68,,,,0.12,7.01,12.87,,0.66,,
CA-NS3,UCI-1964 burn site,Canada,5,0.366,40,Boreal,Dfc,,,,,260,11.1,,ENF,5.33,4.481,55.9117,923,-98.3822,,,502.22,-2.87,2.54,-7.92,1964,79.9,3,17.1,1.16,2.13,,5.8,,,,0.13,80.5,1.1,18.4,1.23,0.42,,6,,,,0.05,0.05,1.09,,,,0.06,3.62,3.64,,0.24,,
CA-NS4,UCI-1964 burn site wet,Canada,3,,,Boreal,Dfc,,,,,260,,,ENF,,,55.9117,,-98.3822,,,502.22,-2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-NS5,UCI-1981 burn site,Canada,5,0.524,23,Boreal,Dfc,,,,,260,9.15,,ENF,5.49,3.03,55.8631,1204.85,-98.485,,,500.34,-2.86,2.56,-7.91,1981,69.4,2.6,28,0.05,2.09,,5.6,,,,0.7,59,2.1,38.9,1.25,8.87,,7.8,,,,0.5,0.09,1.92,,,,0.05,2.39,12.88,,1.25,,
CA-NS6,UCI-1989 burn site,Canada,5,0.404,15,Boreal,Dfc,,,,,,19.5,,OSH,2.97,2.755,55.9167,198,-98.9644,,,495.37,-3.08,2.34,-8,1989,81.1,3.4,15.5,0.03,1.75,,5.6,,,,0.09,89.5,2,8.5,1.05,2.23,,5.4,,,,0.16,0.09,0.37,,,,0.03,0.29,4.35,,0.28,,
CA-NS7,UCI-1998 burn site,Canada,4,0.188,6,Boreal,Dfc,,,,,,13.6,,OSH,1.36,1.32,56.6358,97.1429,-99.9483,,,483.27,-3.52,1.64,-8.48,1998,41.1,4.4,54.5,0.65,2.37,,5.1,,,,0.09,37,1,34.4,1.51,3.38,,5.8,,,,0.15,0.029,0.39,,,,0.03,,6.14,,0.27,,
CA-Oas,Sask.- SSA Old Aspen,Canada,9,,83,Boreal,Dfc,,,,,530,,,DBF,2.1,,53.6289,,-106.198,,,428.53,0.34,6.55,-5.86,1924,loam to sandy clay loam,loam to sandy clay loam,loam to sandy clay loam,,,,,,,loam to sandy clay loam,,loam to sandy clay loam,loam to sandy clay loam,loam to sandy clay loam,,,,,,,loam to sandy clay loam,,,,,,,0.08-0.1,24.5,1.63,,,Orthic Gray Luvisol,
CA-Obs,Sask.- SSA Old Black Spruce,Canada,7,,111,Boreal,Dfc,,,,,628.94,8.7,,ENF,3.8,,53.9872,,-105.118,,,405.6,0.79,6.97,-5.48,1896,sandy loam texture,sandy loam texture,sandy loam texture,,,,,,,sandy loam texture,,sandy loam texture,sandy loam texture,sandy loam texture,,,,,,,sandy loam texture,,,,,,,0.2-0.3,6.6,2.5,,,,
CA-Ojp,Sask.- SSA Old Jack Pine,Canada,7,,91,Boreal,Dfc,,,,,579,,,ENF,2.6,,53.9163,,-104.692,,,430.5,0.12,6.23,-5.9,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.422,1.582,,,,
CA-Qcu,Quebec Boreal Cutover Site,Canada,6,,,Boreal,Dfc,,,,,392.3,,,ENF,0.715-0.82,,49.2671,,-74.0365,,,949.78,0.13,5.84,-5.25,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5075,0.187,,,,ferro-humic to humic Podzol (mesic areas)   ;  organic (humid areas),
CA-Qfo,Quebec Mature Boreal Forest Site,Canada,4,,90-100,Boreal,Dfc,,,,,382,7.9,,ENF,3.7,,49.6925,,-74.3421,100,90,962.32,-0.36,5.19,-5.8,1907-1917,silty-sand texture,silty-sand texture,silty-sand texture,,,,,,,silty-sand texture,,silty-sand texture,silty-sand texture,silty-sand texture,,,,,,,silty-sand texture,,,,,,,0.15-0.4,8.911559,3.5,,,,
CA-SF1,Sask.- Fire 1977,Canada,3,,30,Boreal,Dfc,,,,,536,,,ENF,3.4,,54.485,,-105.818,,,423.69,-0.15,5.91,-6.25,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,3.124,,,,
CA-SF2,Sask.- Fire 1989,Canada,3,,17,Boreal,Dfc,,,,,520,,,ENF,3,,54.2539,,-105.878,,,435.12,-0.08,6.03,-6.2,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.686,2.256,,,,
CA-SF3,Sask.- Fire 1998,Canada,3,,9,Boreal,Dfc,,,,,540,,,ENF,1.1,,54.0916,,-106.005,,,441.78,0.08,6.23,-6.07,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,3.34,,,,
