sitename,longname,country, Years Of Data,AG_NPP,ASA,CLIMATE,,,DEP_N,,,ELEV,FOL_N,HEIGHTC,IGBP,LAI,LAI_U,LAT,LMA,LONG,MaxSA,MinSA,PRECIP,TA,,,YEAR_PLANTED,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,SOIL_BD,SOIL_C,,SOIL_PH,,SOIL_THICKNESS,AG_BIOMASS,SOIL_C,,SOIL_DEPTH,SOIL_TYPE,SOIL_WATER_CAP
,,,Site Years in Synthesis Dataset,Aboveground net primary productivity,Average stand age,Climate group,Climate Koeppen classification,,Foliage nitrogen deposition (dry),Foliage nitrogen deposition (total),Foliage nitrogen deposition (wet),Elevation (text),Foliage nitrogen concentration,Canopy height (text),IGBP Class,Leaf Area Index,Understory Leaf Area Index,Latitude,Leaf mass per unit leaf area,Longitude,Maximum stand age,Minimum stand years,Precipitation (local climate),Air Temperature (avg local climate),Air Temperature (max local climate),Air Temperature (min local climate),Year replanted,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Soil bulk density,Soil Carbon stock,Soil Carbon stock (mg g-1),Soil PH (CaCl2),Soil PH (H2O),Soil horizon or layer thickness,Aboveground biomass,Soil Carbon stock,Soil Carbon stock (%),Soil depth,Soil type,Soil water holding capacity
,,,(none),(none),(none),_group,_KOEPPEN_406,,_dry,_total,_wet,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),_locclim,_avg_locclim,_max_locclim,_min_locclim,(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),_mg_g-1,_CaCl2,_H2O,(none),(none),(none),_PERC,(none),(none),(none)
JP-Tef,Teshio Experimental Forest,Japan,4,,6,Temperate-Continental with hot or warm summers,Dfb,,,,,70,,,MF,7-7.5,4-4.5,45.056339,,142.106203,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.3,,,,,,0.1,,,,0.6,Gleyic Cambisol,
JP-Tom,Tomakomai National Forest,Japan,3,,45,Temperate-Continental with hot or warm summers,Dfb,,,,,140,,,MF,9.2,3.6,42.7395,,141.5149,,,1156.22,6.72,11.29,2,1955-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volcanogenous regosol,
KR-Hnm,Haenam,Korea,3,,,SubTropical-Mediterranean,Cfa,,,,,,,,,,,34.55,,126.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR-Kw1,Gwangneung Coniferous Forest,Korea,4,,,Temperate-Continental with hot or warm summers,Dwa,,,,,330,,,MF,,,37.7486,,127.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL-Ca1,Cabauw,Netherlands,4,,,Temperate,Cfb,,,,,0.7,,,GRA,11.3,,51.971,,4.927,,,776.67,9.59,13.17,5.62,,,,,,,,,,,clay,,,,,,,,,,,clay,,,,,,,,3.5,,,,alluvial clay on peat,
NL-Ca2,Cabauw extension (after 5/25/2004),Netherlands,1,,,Temperate,Cfb,,,,,0.7,,,CRO,3.34,,51.9536,,4.90286,,,775.35,9.6,13.17,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,,,,Eutric thaptohistic Fluvisol,
NL-Haa,Haastrecht,Netherlands,2,,,Temperate,Cfb,,,,,,,,GRA,,,52.0031,,4.8055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL-Hor,Horstermeer,Netherlands,3,,,Temperate,Cfb,,,,,-2.2,,,GRA,,,52.0289,,5.0675,,,779.7,9.5,13.23,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL-Lan,Langerak,Netherlands,2,,,Temperate,Cfb,,,,,,,,CRO,,,51.9536,,4.9029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL-Loo,Loobos,Netherlands,11,,,Temperate,Cfb,,,,,25,1.82,,ENF,2030,,52.1679,,5.74396,,,786.16,9.36,13.04,5.52,,,,,,,,,,,clay,,,,,,,,,,,clay,,,,,,,,9.226,2.43,,,Podzolic,
NL-Lut,Lutjewad,Netherlands,1,,,Temperate,Cfb,,,,,,,,CRO,,,53.3989,,6.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcaric epigleyic Fluvisol,
NL-Mol,Molenweg,Netherlands,2,,,Temperate,Cfb,,,,,,,,CRO,5.1,,51.65,,4.639,,,,,,,,,,,,,,,7.5,,Clay,,,,,,,,,7.5,,Clay,,,,,,,,,,,,Calcaric epigleyic Fluvisol,
PL-wet,Polwet,Poland,2,,,Temperate,Cfb,,,,,54.1,,,WET,3-5,,52.7622,,16.3094,,,473.05,8.11,18.96,-2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT-Esp,Espirra,Portugal,4,,9,SubTropical-Mediterranean,Csa,,,,,95,,,EBF,2.77,,38.6394,,-8.6018,,,634.86,16.8,21.18,12.23,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,0.65,Dystric Cambisol ,
PT-Mi1,Mitra (Evora),Portugal,3,,,SubTropical-Mediterranean,Csa,,,,,250,,,EBF,0.73,,38.5407,,-8.0004,,,628.83,16.17,21.05,11.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT-Mi2,Mitra IV Tojal,Portugal,3,,,SubTropical-Mediterranean,Csa,,,0,,190,,,GRA,1.55,,38.4765,,-8.02455,,,607.3,16.38,21.33,11.41,,7.5,85.5,7,1.64,1.9,,,6,,,0.15,22.88,67.7333,9.38667,1.64,4.14,,,6.91133,,,0.75,,,,,,,0.3345,6.04,,0.9,Luvisol,
RU-Che,Cherskii,Russia,4,,,Boreal,Dfc,,,,,,,,MF,,,68.6147,,161.339,,,609.13,-12.13,-3.41,-11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05-0.15,,,,,,
RU-Cok,Chokurdakh,Russia,3,,,Boreal,Dfc,,,,,,,,OSH,,,70.6167,,147.883,,,226,-13.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU-Fyo,Fedorovskoje-drained spruce stand,Russia,9,,,Temperate-Continental with hot or warm summers,Dfb,,,,,265,,,ENF,,,56.46167,,32.92389,,,671.29,4.38,9.84,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,
RU-Ha1,Ubs Nur- Hakasija-grassland,Russia,3,0.179,,Boreal,Dfc,,,,,,,,GRA,,,54.7253,,90.0022,,,591.87,-0.07,5.48,-5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,12.02,,chernozem,
RU-Ha2,Ubs Nur- Hakasija-recovering grassland,Russia,2,0.224,,Boreal,Dfc,,,,,,,,GRA,,,54.7731,,89.9567,,,597.72,0.24,5.44,-5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419,,3.2,,chernozem,
RU-Ha3,Ubs Nur-Hakasija- Site 3,Russia,1,0.269,,Boreal,Dfc,,,,,,,,GRA,,,54.70455,,89.07785,,,591.91,-0.06,5.47,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.412,,5.32,,chernozem,
RU-Zot,Zotino,Russia,3,,,Boreal,Dfc,,,,,90,,,ENF,,,60.8008,,89.3508,,,943.41,-3.27,2.3,-9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-Abi,Abisko,Sweden,1,,,Arctic,ET,,,2.40928,,,17.907,,DBF,2.6,1.5,68.36239,81.5864,18.79475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05-0.10,,,,,Podzolised,
SE-Deg,Degero,Sweden,5,,,Boreal,Dfc,,,,,270,,,WET,,,64.1833,,19.55,,,605.53,0.57,0.71,-7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,peat,
SE-Faj,Fajemyr (NECC),Sweden,2,,,Temperate,Cfb,,,17.3,,140,,,WET,1,1,56.2655,,13.5535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4.5,,,,4.5,peat,
SE-Fla,Flakaliden,Sweden,6,,48,Boreal,Dfc,,,2.6,,226,,,ENF,,,64.1128,,19.4569,,,615.98,0.27,-0.1,-8.29,,6,60,34,,4.62,,,5.01,,,,6,60,34,,2.54,,,5.35,,,,,0.82,,,4.18,,,7.97,,,,
SE-Nor,Norunda,Sweden,6,,105,Temperate-Continental with hot or warm summers,Dfb,,,,,43,,,ENF,4.53,,60.0864972,209,17.47950278,,,561.02,5.45,5.84,5.96,1899,5,63,26,1.59,,3.1,,4,3.1,,0.01,7,48,43,1.59,,0.9,,5.2,4.3,,0.43,,,87,,3.9,0.07,23.198,,,0.51,Dystric Regosols,
SE-Sk1,Skyttorp1 young,Sweden,1,,0,Temperate-Continental with hot or warm summers,Dfb,,,,,42,,,ENF,0.5,,60.125,,17.9181,,,567.26,5.29,7.05,4.6,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Podzol, dystic regosols",
SE-Sk2,Skyttorp,Sweden,2,,30,Temperate-Continental with hot or warm summers,Dfb,,,,,55,,,ENF,3.5,,60.12967,,17.84006,,,573.45,5.25,7.5,4.25,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-St1,Stordalen  Forest- Mountain Birch,Sweden,1,,,Arctic,ET,,,2.40928,,367,17.907,,DBF,2.6,1.5,68.3667,81.5864,19.049694,,,387.52,-1.5,2.11,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,Podzolised,
SK-Tat,Tatra,Slovak Republic,1,,,Temperate-Continental with hot or warm summers,Dbf,,,,,1050,,,ENF,,,49.1208,,20.1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW-Tar,TARI (TWTARI),Taiwan,2,,,SubTropical-Mediterranean,Cfa,,,,,55,,,,,,24.0312,,120.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK-AMo,Auchencorth Moss- Scotland,UK,1,,,Temperate,Cfb,,,,,270,,,WET,,,55.7917,,-3.23889,,,,,,,,,,,0.422274,,,,,,,,,,,0.38937,,,,,,,,,,,,,,,,,0.7,Histosol,
UK-EBu,Easter Bush- Scotland,UK,2,,20,Temperate,Cfb,,,,,190,2.76-3.23,,GRA,3.9,,55.866,,-3.20578,,,843.11,8.27,17.01,-0.42,,21,51,27,,4.92-5.4,,,4.86-5.04,,,0.1,20,54,26,,17.6,,,5.16,,,0.4,,,,,,,0.22128,22.58-22.95,,1,Gleyic cambisol,
UK-ESa,East Saltoun,UK,3,,,Temperate,Cfb,,,,,97,,,CRO,,,55.90694,,-2.85861,,,1156.75,7.2,16.34,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK-Gri,Griffin- Aberfeldy-Scotland,UK,6,0.75,25,Temperate,Cfc,,,30,,340,9,,ENF,7,0,56.60722,250,-3.79806,,,1622.95,6.6,16.83,-4.76,1982,,,,,,,,,,,0,,,,1,14,,,,,,0.2,0.2,5,,,,0.1,10,15,,0.3,Stagnohumic gley on glacial till,190
UK-Ham,Hampshire,UK,2,,60,Temperate,Cfb,,,,,80,,,DBF,,,51.1208,,-0.86083,,,829.39,9.38,19.36,-0.05,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,0.8,surface water gley,
UK-Her,Hertfordshire,UK,1,,,Temperate,Cfb,,,,,140,,,CRO,,,51.7838,,-0.47608,,,85.41,22.73,19.17,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK-PL3,Pang/ Lambourne (forest),UK,2,,,Temperate,Cfb,,,,,115,,,DBF,,,51.45,,-1.26667,,,707.62,9.94,19.39,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK-Tad,Tadham Moor,UK,1,,,Temperate,Cfb,,,,,3,,,GRA,,,51.2071,,-2.82864,,,823.2,9.86,19.18,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,peat,
US-ARb,OK - ARM Southern Great Plains burn site- Lamont,USA,2,,,SubTropical-Mediterranean,Cfa,,,,,,7.10341,,GRA,3.24949,3.24949,35.5497,,-98.0402,,,,,,,,,,,1.238,,,,6.6,,silt loam,0.3048,,,,1.5,,,,6.6,,silty clay loam,1.3716,,,,,,,0.879944,,,1.6764,"Norges silt loam: Fine-silty, mixed, active, thermic Udic Paleustoll. ",
US-ARc,OK - ARM Southern Great Plains control site- Lamont,USA,2,,,SubTropical-Mediterranean,Cfa,,,,,,9.45,,GRA,2.106,2.106,35.54649,,-98.04,,,,,,,,,,,1.26333,6.065,,,6.4,,silt loam,0.3048,,,,1.3,7.31,,,6.3,,silty clay loam,1.3716,,,,,,,0.6,13.38,,1.6764, Udic Paleustoll,
US-ARM,OK - ARM Southern Great Plains site- Lamont,USA,4,0.6,,SubTropical-Mediterranean,Cfa,,,,,300-320,35.5,,CRO,1.3-2.9,NA,36.605,,-97.4884,,,843.03,14.76,21.35,8.19,,43.0967,28.9184,27.9849,1,150,,6-7,,,,0.15,43.0967,28.9184,28,1.3,137,,,6-7,,,0.15,,,,,,,0.6,,,0.3,Udertic Paleustoll,114
US-Atq,AK - Atqasuk,USA,6,,,Arctic,ET,,,,,,,,WET,,,70.4696,,-157.409,,,93.23,-12.29,-8.93,-14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-Aud,AZ - Audubon Research Ranch,USA,5,,,Dry (arid and semi arid),BSk,,,,,985,,,GRA,1,,31.5907,,-110.51,,,438.35,14.85,23.72,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-Bar,NH - Bartlett Experimental Forest,USA,2,0.383,70,Temperate-Continental with hot or warm summers,Dfb,,,6.5,,272,19.3,,DBF,3.5,,44.0646,65,-71.28808,80,60,1245.77,5.61,12.18,-0.97,1937,,,,,,,,,,,,,,,,,,,,,,,,3,,,,0.07,10.73,15.5,,1,spodosol ,
US-Bkg,SD - Brookings,USA,3,,,Temperate-Continental with hot or warm summers,Dfa,,,,,510,,,GRA,0.2-3,,44.3453,,-96.8362,,,585.76,6.03,12.31,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-Blo,CA - Blodgett Forest,USA,10,,17,SubTropical-Mediterranean,Csa,,,,,1315,14.07,,ENF,4.63,1.68,38.8952,117,-120.633,,,,,,,1990,11,60,29,0.76,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,2,ultic haploxeralf,
US-Bn1,"AK - Bonanza Creek, 1920 Burn site near Delta Junction",USA,1,,80,Boreal,Dsc,,,,,518,,,ENF,3.5,,63.9198,,-145.378,,,,,,,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.418,,,,,
US-Bn2,"AK - Bonanza Creek, 1987 Burn site near Delta Junction",USA,1,,15,Boreal,Dsc,,,,,410,,,DBF,2.5,,63.9198,,-145.378,,,,,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.674,,,,,
US-Bn3,"AK - Bonanza Creek, 1999 Burn site near Delta Junction",USA,1,,3,Boreal,Dsc,,,,,469,,,OSH,1.1,,63.9227,,-145.744,,,,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,,,,
US-Bo1,IL - Bondville,USA,12,,,Temperate-Continental with hot or warm summers,Dfa,,,,,300,,,CRO,5-5.5,,40.0061,,-88.2919,,,991.29,11.02,16.77,5.26,,,,,1.4,,,,,,fine silty,,,,,1.4,,,,,,fine silty,,,,,,,,,,,,"Argiudolls ,Haplaquolls",
US-Bo2,IL - Bondville (companion site),USA,3,,,Temperate-Continental with hot or warm summers,Dfa,,,,,219.3,,,CRO,,,40.0061,,-88.2919,,,991.29,11.02,16.77,5.26,,,,,1.4,,,,,,fine silty,,,,,1.4,,,,,,fine silty,,,,,,,,,,,,"Argiudolls ,Haplaquolls",
US-Brw,AK - Barrow,USA,5,,,Arctic,ET,,,,,1,,,WET,1.5,,71.3225,,-156.626,,,85.85,-12.77,-9.93,-15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-CaV,WV - Canaan Valley,USA,2,,,Temperate,Cfb,,,,,988,,,GRA,1-3,,39.0633,,-79.4208,,,1317,7.97,14.4,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-Dk1,NC - Duke Forest-open field,USA,5,,,SubTropical-Mediterranean,Cfa,,,,,,,,GRA,,,35.9712,,-79.0934,,,1169.75,14.36,21.16,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-Dk2,NC - Duke Forest-hardwoods,USA,3,,,SubTropical-Mediterranean,Cfa,,,,,,,,MF,5.6,,35.9736,,-79.1004,100,80,1168.69,14.36,21.16,7.57,,,,,1.22,,1.79,4.975,6.04,,sandy loam,0.2032,22.8,38.15,39.05,1.46,,,,5.9,,,0.92,,,,,,,,,,0.8382,Hapludalf,
US-Dk3,NC - Duke Forest - loblolly pine,USA,5,,24,SubTropical-Mediterranean,Cfa,,,,,120,,,MF,5.2,,35.9782,,-79.0942,,,1169.69,14.36,21.16,7.57,1983,,,,1.22,,1.79,4.975,6.04,,sandy loam,0.2032,22.8,38.15,39.05,1.46,,,,5.9,,,0.92,,,,,,,,,,0.8382,Hapludalf,
US-Fmf,AZ - Flagstaff - Managed Forest,USA,2,,100,SubTropical-Mediterranean,Csb,,,,,,12,,ENF,1.6,0.075,35.13333,325,-111.727,,,,,,,,12,27,60,1.04,,,5.3,,,,0.075,40,13,46,1.56,,,,,,,0.115,,6,,,,0.08,8.88,,,,fine montmorillonitic complex of frigid Typic Argiborolls and Mollic Eutroboralfs,
US-FPe,MT - Fort Peck,USA,7,,,Dry (arid and semi arid),BSk,,,,,634,,,GRA,2.5,,48.3079,,-105.101,,,334.8,5.48,12.86,-1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-FR2,TX - Freeman Ranch- Mesquite Juniper,USA,3,,2-30,SubTropical-Mediterranean,Cfa,,,,,271.9,9-26,,WSA,2.8,0.8,29.9495,156-180,-97.9962,30,2,864,19.48,25.99,13.05,,,,,0.6-0.9,3.7-4.4,,7,,,,0.3,,,,,,,,,,,,,,,,,0.01,,3.7-4.4,,0.3,vertisol,
US-Fuf,AZ - Flagstaff - Unmanaged Forest,USA,2,,100,SubTropical-Mediterranean,Csb,,,,,,12,,ENF,2.3,0.057,35.08973,325,-111.762,,,,,,,,24,36,39,1.15,,,5.3,,,,0.05,35,31,34,1.21,,,,,,,0.1,,6,,,,0.08,12.14,,,,fine montmorillonitic complex of frigid Typic Argiborolls and Mollic Eutroboralfs,
US-Fwf,AZ - Flagstaff - Wildfire,USA,2,,,SubTropical-Mediterranean,Csb,,,,,,,,GRA,0.6,0.6,35.446,79,-111.772,,,,,,,1996,13,30,57,1.01,,,5.8,,,,0.07,25,20,55,1.5,,,,,,,0.08,,0,,,,0,0.206,,,,fine montmorillonitic complex of frigid Typic Argiborolls and Mollic Eutroboralfs,
US-Goo,MS - Goodwin Creek,USA,5,,,SubTropical-Mediterranean,Cfa,,,,,70,,,GRA,2,,34.25,,-89.97,,,1425.77,15.89,22.57,9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-Ha1,MA - Harvard Forest EMS Tower (HFR1),USA,16,0.4,70-110,Temperate-Continental with hot or warm summers,Dfb,,,8.4,,350,17.8,,DBF,5.1971,,42.5378,106,-72.1715,110,70,1071,6.62,12.73,0.47,,,,,0.89,5.02,,3.88,,,,0.26,,,,1.78,1.76,,,,,,0.91,0.16,2.02,,3.16,,0.08,11.7,8.8,,1.25,cambisols,
US-Ha2,MA - Harvard Forest Hemlock Site,USA,1,0.74,,Temperate-Continental with hot or warm summers,Dfb,,,8,,360,11.8-16.7,,ENF,4.4,,42.5393,131,-72.1779,230,100,1071,6.56,12.72,0.43,,High silt and clay content,High silt and clay content,High silt and clay content,0.86,4.7,,,4.3,,High silt and clay content,0.02-0.04,,,,,,,,,,High silt and clay content,,0.13,5.6,,,3.4,0.07-0.2,26,10.3,,0.35,,
US-Ho1,ME - Howland Forest (main tower),USA,9,,50-300,Temperate-Continental with hot or warm summers,Dfb,,,6,,80,11,,ENF,6.5,0,45.2041,275,-68.7403,300,50,1070.29,5.27,11.58,-1.07,,,,,1,0.8,,3.2,,,,0.05,,,,1.4,6,,4.2,,,,0.5,0.14,4.4,,2.8,,0.1,23.5,11,,0.8,Typic  and Aquic Haplorthods,100
US-Ho2,ME - Howland Forest (west tower),USA,6,,,Temperate-Continental with hot or warm summers,Dfb,,,,,,,,MF,,,45.2091,,-68.747,,,1064.24,5.13,11.45,-1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-IB1,IL - Fermi National Accelerator Laboratory- Batavia (Agricultural site),USA,3,,,Temperate-Continental with hot or warm summers,Dfa,,,,,225-228,,,CRO,,,41.8593,,-88.2227,,,929.23,9.18,14.95,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-IB2,IL - Fermi National Accelerator Laboratory- Batavia (Prairie site),USA,3,,,Temperate-Continental with hot or warm summers,Dfa,,,,,225-228,,,GRA,,,41.8406,,-88.241,,,930.25,9.04,14.83,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-Ivo,AK - Ivotuk,USA,4,,,Arctic,ET,,,,,,,,WET,,,68.4865,,-155.75,,,303.59,-8.28,-1.8,-14.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-KS1,FL - Kennedy Space Center (slash pine),USA,1,,,SubTropical-Mediterranean,Cfa,,,,,,,,ENF,,,28.4583,,-80.6709,,,1266.06,21.9,26.86,17.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-KS2,FL - Kennedy Space Center (scrub oak),USA,7,4.4,11,SubTropical-Mediterranean,Cfa,,,,,3,12,,CSH,2.5,,28.6086,174,-80.6715,,,1294.13,21.66,26.81,16.75,1996,5,90,5,0.99,3,,5.2,,,,0-1,5,90,5,0.99,0.6,,5.2,,,,1-1.5,,,,,,0-0.05,"2,2",,,1.5,Pomello sands,0.5-1.3
US-Los,WI - Lost Creek,USA,5,0.446,,Temperate-Continental with hot or warm summers,Dfb,,,,,480,,,CSH,4.24,,46.0827,156,-89.9792,,,828.44,4.08,9.87,-1.69,,,,,,,,,,,,,,,,,,,,,,,,,1.937,,,,0.2,1.336,4.496,,0.75,,
US-LPH,MA - Little Prospect Hill,USA,4,0.7,48-100,Temperate-Continental with hot or warm summers,Dfb,,,8,,360-395,,,DBF,4.5,,42.5419,73,-72.185,100,48,1071,6.73,12.95,0.54,,Relatively high sand content within 100 m of tower (dry soil falls out of soil corer),Relatively high sand content within 100 m of tower (dry soil falls out of soil corer),Relatively high sand content within 100 m of tower (dry soil falls out of soil corer),0.86,,,4.5,,,sand,0.03-0.08,Relatively high sand content within 100 m of tower (dry soil falls out of soil corer),Relatively high sand content within 100 m of tower (dry soil falls out of soil corer),Relatively high sand content within 100 m of tower (dry soil falls out of soil corer),,,,,,,sand,,0.09,3.7,,3.7,,0.05-0.1,10-24,,,0.35,,
US-Me1,OR - Metolius - Eyerly burn,USA,2,,,SubTropical-Mediterranean,Csb,,,,,,,,ENF,,,44.5794,,-121.5,,,704.61,7.88,15.34,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-Me2,OR - Metolius-intermediate aged ponderosa pine,USA,3,0.242,89,SubTropical-Mediterranean,Csb,,,,,1310,9.3,,ENF,2.8,0.09,44.4524,239,-121.557,,,522.88,6.28,14.11,-1.49,1912,7,67,26,1.15,,,,,,,,,,,,,,,,,,,,1.15,,,,,13.8,7.9,,1.5,,
US-Me3,OR - Metolius-second young aged pine,USA,2,0.053,18,SubTropical-Mediterranean,Csb,,,,,,11.3,,ENF,0.52,,44.3157,300,-121.608,,,719.25,7.07,14.88,-0.71,1986,0,80,20,1.35,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.2,10,,0.5,,
US-Me4,OR - Metolius-old aged ponderosa pine,USA,5,0.886,50-250,SubTropical-Mediterranean,Csb,,,,,1141,,,ENF,2.1,,44.4992,,-121.622,250,50,1038.82,7.61,14.73,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.556,,1,,
US-MMS,IN - Morgan Monroe State Forest,USA,7,1,70-90,SubTropical-Mediterranean,Cfa,,,13-14,,275,0.222,,DBF,4.62,,39.3231,42.5,-86.4131,90,70,1031.57,10.85,16.45,5.31,,63,34,3,1.1,,,3.5-4.6,,,,0.05,,,,1.2,,,,,,,,,,,,,,22.1,6.6,,1-2,, 500-1000
US-MOz,MO - Missouri Ozark Site,USA,3,,85-170,SubTropical-Mediterranean,Cfa,,,6.03,,219.4,15.5-16.2,,DBF,4.2,,38.7441,93.5,-92.2,170,85,985.5,12.11,17.96,6.16,,12-18,5-10,60-80,1.35-1.45,,,4.4-7.2,,,,0.38,20-48,1-20,50-70,1.35-1.55,,,,,,,1.65,,,,,,,14.9831,,,2,Phaeozem,305
US-NC1,NC - NC_Clearcut,USA,2,,2,SubTropical-Mediterranean,Cfa,,,,,2,,,OSH,1.5,0,35.8115,,-76.7115,,,1281.7,15.95,22.33,9.6,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine, mixed, semiactive, themic tipic Umbraquuits (Ultisols)",
US-NC2,NC - NC_Loblolly Plantation,USA,2,,14,SubTropical-Mediterranean,Cfa,,,,,5,,,ENF,3,0,35.8031,,-76.6679,,,1293.96,16.01,22.39,9.7,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Histosol,
US-Ne1,NE - Mead - irrigated continuous maize site,USA,5,,,Temperate-Continental with hot or warm summers,Dfa,,,,,361,,,CRO,6.3,,41.1651,,-96.4766,,,790.37,10.07,16.53,3.54,,37,11,52,1.36,10.9,,6.1,,,,0.5,35,7,58,1.5,7.5,,6.4,,,,1,,,,,,,,18.4,,1.8, Argialbolls,720
US-Ne2,NE - Mead - irrigated maize-soybean rotation site,USA,5,,,Temperate-Continental with hot or warm summers,Dfa,,,,,362,,,CRO,5.7-6.4,,41.1649,,-96.4701,,,788.89,10.08,16.53,3.56,,33,12,55,1.34,10.7,,5.6,,,,0.5,36,9,55,1.5,7.5,,5.8,,,,1,,,,,,,,18.2,,1.8, Argialbolls,720
US-Ne3,NE - Mead - rainfed maize-soybean rotation site,USA,5,,,Temperate-Continental with hot or warm summers,Dfa,,,,,363,,,CRO,3.2-4.3,,41.1797,,-96.4397,,,783.68,10.11,16.51,3.6,,35,8,57,1.4,15.6,,5.4,,,,0.8,36,8,56,1.55,5.5,,6.2,,,,0.7,,,,,,,,21.1,,1.8, Argialbolls,720
