Site_ID,Name,Country,Latitude,Longitude,Elevation,IGBP_class,Climate_class,Climate_group
CN-Cha,Changbaishan,China,42.40250015,128.095993,761,MF,Dwb,Temperate-Continental with hot or warm summers
CN-Dan,Dangxiong,China,30.85000038,91.08329773,4250,GRA,ET,Arctic
CN-Din,Dinghushan,China,23.16670036,112.5329971,300,EBF,Cfa,SubTropical-Mediterranean
CN-Do1,Dongtan 1 (CM1),China,31.51670074,121.9609985,-999.9,WET,Cfa,SubTropical-Mediterranean
CN-Do2,Dongtan 2 (CM2),China,31.58469963,121.9029999,-999.9,WET,Cfa,SubTropical-Mediterranean
CN-Do3,Dongtan 3 (CM3),China,31.51689911,121.9720001,-999.9,WET,Cfa,SubTropical-Mediterranean
CN-Du1,Duolun_cropland (D02),China,42.04560089,116.6709976,1350,CRO,Dwb,Temperate-Continental with hot or warm summers
CN-Du2,Duolun_grassland (D01),China,42.04669952,116.2839966,1350,GRA,Dwb,Temperate-Continental with hot or warm summers
CN-Dwu,Dongwu_grassland (DW7),China,45.56010056,117,865,GRA,Dwc,Temperate-Continental with hot or warm summers
CN-Hab,Haibei Meadow,China,37.59999847,101.3000031,3287.97,OSH,ET,Arctic
CN-HaM,Haibei Alpine Tibet site,China,37.36999893,101.1800003,3250,GRA,ET,Arctic
CN-Hny,Hunan Yueyang,China,29.30999947,112.5100021,-999.9,DBF,Cfa,SubTropical-Mediterranean
CN-Hug,Hulunber Grassland,China,49.32690048,120.0500031,-999.9,GRA,Dwc,Temperate-Continental with hot or warm summers
CN-Ku1,Kubuqi_populus forest (K04),China,40.53829956,108.6940002,1020,EBF,BSk,Dry (arid and semi arid)
CN-Ku2,Kubuqi_shrubland (K05),China,40.38079834,108.5490036,1160,OSH,BSk,Dry (arid and semi arid)
CN-Qia,Qianyanzhou,China,26.73329926,115.0670013,100,MF,Cfa,SubTropical-Mediterranean
CN-Xfs,Xilinhot Inner Mongolia fenced typical steppe (TSX),China,44.13416672,116.3286133,-999.9, TBD,BSk,Dry (arid and semi arid)
CN-Xi1,Xilinhot fenced steppe (X06),China,43.54583359,116.6777802,1250,GRA,Dwb,Temperate-Continental with hot or warm summers
CN-Xi2,Xilinhot grassland site (X03),China,43.5544014,116.6709976,1250,GRA,Dwb,Temperate-Continental with hot or warm summers
CN-Xsh,Xishuangbanna,China,21.95000076,101.1999969,756,EBF,Cwa,SubTropical-Mediterranean
CN-Yuc,Yucheng,China,36.95000076,116.5999985,28,CRO,Cwa,SubTropical-Mediterranean
CN-Zha,Zhangye Oasis,China,39,100,1500,CRO,BWk,Dry (arid and semi arid)
CR-Lin,Los Inocentes,Costa Rica,11.01669979,-85.5,350,GRA,Aw,Tropical
CR-Lse,La Selva,Costa Rica,10.42329979,-84.02110291,100,EBF,Am,Tropical
CR-Sro,Santa Rosa National Park,Costa Rica,10.81470013,-85.61499786,300,GRA,Aw,Tropical
CZ-BK1,Bily Kriz- Beskidy Mountains,Czech Republic,49.50260162,18.53840065,908,ENF,Dfb,Temperate-Continental with hot or warm summers
CZ-BK2,Bily Kriz- grassland,Czech Republic,49.49530029,18.54470062,855,GRA,Dfb,Temperate-Continental with hot or warm summers
CZ-wet,CZECHWET,Czech Republic,49.02500153,14.77200031,420,WET,Cfb,Temperate
DE-Bay,Bayreuth-Waldstein/WeidenBrunnen,Germany,50.14189911,11.86690044,775,ENF,Cfb,Temperate
DE-Ber,Berchtesgaden,Germany,47.61669922,12.58329964,1450,GRA,Cfb,Temperate
DE-Geb,Gebesee,Germany,51.10010147,10.91429996,161.5,CRO,Cfb,Temperate
DE-Gri,Grillenburg- grass station,Germany,50.94950104,13.51249981,385,GRA,Cfb,Temperate
DE-Hai,Hainich,Germany,51.07929993,10.45199966,430,DBF,Cfb,Temperate
DE-Har,Hartheim,Germany,47.93439865,7.600999832,201,ENF,Cfb,Temperate
DE-Kan,Kannenbruch Forest,Germany,53.78329849,10.60000038,-999.9,DBF,Cfb,Temperate
DE-Kli,Klingenberg - cropland,Germany,50.89289856,13.52250004,480,CRO,Cfb,Temperate
DE-Lei,Leinefelde,Germany,51.32830048,10.36789989,440,DBF,Cfb,Temperate
DE-Meh,Mehrstedt 1,Germany,51.27529907,10.65550041,286,GRA,Cfb,Temperate
DE-Obe,Oberbarenburg,Germany,50.7867012,13.72220039,-999.9,ENF,Cfb,Temperate
DE-Sch,Schonau,Germany,47.59999847,12.9666996,-999.9,GRA,Cfb,Temperate
DE-Sol,Solling FL,Germany,51.76670074,9.583330154,500,DBF,Cfb,Temperate
DE-Tha,Anchor Station Tharandt - old spruce,Germany,50.96360016,13.56690025,380,ENF,Cfb,Temperate
DE-Wet,Wetzstein,Germany,50.45349884,11.45750046,785,ENF,Cfb,Temperate
DK-Eng,Enghave,Denmark, TBD, TBD,10,GRA,Cfb,Temperate
DK-Fou,Foulum,Denmark,56.48419952,9.587220192,51,CRO,Cfb,Temperate
DK-Lva,Lille Valby (Rimi),Denmark,55.68330002,12.08329964,15,GRA,Cfb,Temperate
DK-Ri2,Risbyholm 2,Denmark,55.53329849,12.08829975,-999.9, TBD, TBD, TBD
DK-Ris,Risbyholm,Denmark,55.53030014,12.09720039,10,CRO,Cfb,Temperate
DK-Sor,Soroe- LilleBogeskov,Denmark,55.48690033,11.64579964,40,DBF,Cfb,Temperate
DK-Sto,Store Ebberup,Denmark,55.48329926,11.63329983,39,CRO,Cfb,Temperate
DK-Ulb,Ulborg,Denmark,56.28329849,8.433329582,-999.9,ENF,Cfb,Temperate
ES-Agu,Aguamarga,Spain,36.94060135,-2.032919884,-999.9,CSH,BSk,Dry (arid and semi arid)
ES-Amo,Amoladeras,Spain,36.83480072,-2.251140118,-999.9,OSH,BSk,Dry (arid and semi arid)
ES-ES1,El Saler,Spain,39.34600067,-0.318809986,10,ENF,Csa,SubTropical-Mediterranean
ES-ES2,El Saler-Sueca,Spain,39.27550125,-0.315219998,10,CRO,Csa,SubTropical-Mediterranean
ES-LJu,Llano de los Juanes,Spain,36.92819977,-2.750469923,1600,OSH,Csa,SubTropical-Mediterranean
ES-LMa,Las Majadas del Tietar,Spain,39.94150162,-5.773359776,260,SAV,Csa,SubTropical-Mediterranean
ES-VDA,Vall d'Alinya,Spain,42.15219879,1.448500037,1770,GRA,Cfb,Temperate
FI-Alk,Alkkia Scots pine forest,Finland,62.1833992,22.78350067,-999.9,ENF,Dfc,Boreal
FI-Hyy,Hyytiala,Finland,61.84740067,24.2947998,181,ENF,Dfc,Boreal
FI-Jok,Jokionen agricultural field,Finland,60.89929962,23.5156002,104,CRO,Dfb,Temperate-Continental with hot or warm summers
FI-Kaa,Kaamanen wetland,Finland,69.14070129,27.29500008,155,WET,Dfc,Boreal
FI-Kot,Kotovaara,Finland,67.75,29.61669922,380, TBD,Dfc,Boreal
FI-Mat,Kenttarova (Matorova) spruce forest,Finland,67.98719788,24.24309921,-999.9,ENF,Dfc,Boreal
FI-Nuo,Nuorttitunturi,Finland,67.80000305,29.66670036,-999.9,ENF,Dfc,Boreal
FI-Sii,Siikaneva fen,Finland,61.83300018,24.19300079,-999.9,GRA,Dfc,Boreal
FI-Sod,Sodankyla,Finland,67.36190033,26.63780022,180,ENF,Dfc,Boreal
FI-Var,Varrio,Finland,67.76670074,29.58329964,-999.9, TBD,Dfc,Boreal
FR-Aur,Aurade,France,43.54940033,1.10777998,-999.9,CRO,Cfb,Temperate
FR-Avi,Avignon,France,43.91640091,4.879169941,32,CRO,Csa,SubTropical-Mediterranean
FR-Bil,Bilos  (after 6/20/2004),France,44.4939003,-0.955940008,38,ENF,Cfb,Temperate
FR-Cou,Couhins,France,44.75559998,-0.555559993,20,CRO,Cfb,Temperate
FR-Fon,Fontainebleau,France,48.47629929,2.780149937,90,DBF,Cfb,Temperate
FR-Gri,Grignon  (after 6/5/2005),France,48.84400177,1.95243001,125,CRO,Cfb,Temperate
