Site_ID,Latitude,Longitude,Elevation
NL-Re1,51.90000153,4.5,-999.9
NL-Re2,51.90000153,4.5,-999.9
NL-Vre,51.5320015,5.843999863,-999.9
PA-Sa1,9.307749748,-79.63030243,74
PA-Sa2,9.316729546,-79.63490295,74
PL-Bre,40.66669846,18.93330002,660
PL-Pol,48.63330078,19.5333004,-999.9
PL-wet,52.7621994,16.30940056,54.1
PT-Esp,38.63940048,-8.601799965,95
PT-Mi1,38.54069901,-8.00039959,250
PT-Mi2,38.47650146,-8.024550438,190
PT-Mi3,38.54059982,-8.000060081,264.2
RU-Che,68.61470032,161.3390045,-999.9
RU-Cok,70.61669922,147.8829956,-999.9
RU-Cuk,65.59480286,171.0529938,-999.9
RU-Fy2,56.44779968,32.90190125,265
RU-Fyo,56.46166992,32.92388916,265
RU-Ha1,54.72529984,90.00219727,-999.9
RU-Ha2,54.77310181,89.95670319,-999.9
RU-Ha3,54.7045517,89.07785034,-999.9
RU-Sam,72.37329865,126.4980011,-999.9
RU-Tuv,50.15000153,94.44999695,-999.9
RU-Ylr,62.25500107,129.6190033,220
RU-Ypn,62.24140167,129.651001,220
RU-Zbe, TBD, TBD,-999.9
RU-Zbo,60.75,89.38330078,-999.9
RU-Zfw,60.75,89.38330078,-999.9
RU-Zme, TBD, TBD,-999.9
RU-Zot,60.80080032,89.35079956,90
RU-Zse, TBD, TBD,-999.9
SD-Dem,13.28289986,30.47830009,500
SE-Abi,68.36238861,18.79475021,-999.9
SE-As2,57.1495018,14.73869991,-999.9
SE-Asa,57.16669846,14.80000019,-999.9
SE-Deg,64.1832962,19.54999924,270
SE-Faj,56.26549911,13.55350018,140
SE-Fla,64.1128006,19.45689964,226
SE-Kno,60.98329926,16.2166996,-999.9
SE-Nor,60.08649826,17.47950363,43
SE-Sk1,60.125,17.91810036,42
SE-Sk2,60.12966919,17.84005928,55
SE-St1,68.36669922,19.04969406,367
SE-St2,68.36669922,19.04999924,360
SK-Pol,48.63330078,19.4666996,1250
SK-Tat,49.12080002,20.16349983,1050
TH-Mae,14.57499981,98.85829926,231
TH-Mix,16.93989944,99.42990112,-999.9
TH-Sak,14.49330044,101.9219971,543
TW-Chn,24.59090042,121.4990005,1650
TW-Hui,24.04249954,121.072998,2000
TW-Nch,24.12059975,120.6780014,83.781
TW-Tar,24.03120041,120.6880035,55
UK-AMo,55.79169846,-3.238889933,270
UK-Cas,57.23329926,-3.5,390
UK-Cir,52.70000076,-1.983330011,-999.9
UK-EBu,55.86600113,-3.205780029,190
UK-ESa,55.90694046,-2.858609915,97
UK-Gri,56.6072197,-3.79805994,340
UK-Ham,51.15353394,-0.858299971,80
UK-Har,55.21640015,-2.024310112,200
UK-Her,51.78379822,-0.47608,140
UK-MoH,54.69630051,-2.396379948,585
UK-PL1,51.53329849,-1.483330011,-999.9
UK-PL2,51.43330002,-1.233330011,-999.9
UK-PL3,51.45000076,-1.266669989,115
UK-Pol,55.28680038,-3.401499987,196
UK-Tad,51.20709991,-2.828639984,3
US-Age,45.03440094,-68.68199921,-999.9
US-ARb,35.54970169,-98.04019928,424
US-ARc,35.54648972,-98.04000092,424
US-ARM,36.60580063,-97.48880005,314
US-Atq,70.46959686,-157.4089966,15
US-Aud,31.59070015,-110.5100021,1469
US-Bar,44.0646019,-71.28807831,272
US-Bef,39.05960083,-78.07240295,-999.9
US-Bkg,44.34529877,-96.8361969,510
US-Blk,44.15800095,-103.6500015,-999.9
