Missing elevation data gap-filled from gtopo30 1km data
using get_missing_elevation_from_gtopo30.py
Site_ID,Latitude,Longitude,Elevation
UK-Her,51.78379822,-0.47608,140.000000
UK-MoH,54.69630051,-2.396379948,585.000000
UK-PL1,51.53329849,-1.483330011,158.000000
UK-PL2,51.43330002,-1.233330011,76.000000
UK-PL3,51.45000076,-1.266669989,115.000000
UK-Pol,55.28680038,-3.401499987,196.000000
UK-Tad,51.20709991,-2.828639984,3.000000
US-Age,45.03440094,-68.68199921,42.000000
US-ARb,35.54970169,-98.04019928,424.000000
US-ARc,35.54648972,-98.04000092,424.000000
US-ARM,36.60580063,-97.48880005,314.000000
US-Atq,70.46959686,-157.4089966,15.000000
US-Aud,31.59070015,-110.5100021,1469.000000
US-Bar,44.0646019,-71.28807831,272.000000
US-Bef,39.05960083,-78.07240295,183.000000
US-Bkg,44.34529877,-96.8361969,510.000000
US-Blk,44.15800095,-103.6500015,1718.000000
US-Blo,38.89519882,-120.6327515,1315.000000
US-Bn1,63.9197998,-145.378006,518.000000
US-Bn2,63.9197998,-145.378006,410.000000
US-Bn3,63.92269897,-145.7440033,469.000000
US-Bo1,40.00619888,-88.29039764,219.000000
US-Bo2,40.00899887,-88.29000092,219.000000
US-Br1,41.69150162,-93.69139862,313.000000
US-Br2,41.97570038,-93.69249725,314.000000
US-Br3,41.97470093,-93.69360352,313.000000
US-Brw,71.32250214,-156.6259003,1.000000
US-CaV,39.06330109,-79.42079926,994.000000
US-Ced,39.83789825,-74.37909698,58.000000
US-ChR,35.93109894,-84.33239746,286.000000
US-Co1,40.72510147,-104.3010025,1526.000000
US-Co2,40.73450089,-104.3010025,1530.000000
US-Co3,40.729599,-104.3010025,1526.000000
US-Cop,-999.9,-999.9,-999.900000
US-Ctn,-999.9,-999.9,-999.900000
US-Cub,39.41249847,-76.52079773,146.000000
US-Cyp,29.77039909,-82.20809937,50.000000
US-Dix,39.97119904,-74.43460083,45.000000
US-Dk1,35.97119904,-79.09339905,168.000000
US-Dk2,35.97359848,-79.10040283,168.000000
US-Dk3,35.97819901,-79.09420013,163.000000
US-Elm,25.55190086,-80.7826004,0.770000
US-Esm,25.43790054,-80.59459686,1.070000
US-Fmf,35.14260101,-111.7273026,2160.000000
US-FPe,48.30770111,-105.1018982,634.000000
US-FR1,29.93000031,-98.01000214,245.000000
US-FR2,29.94949913,-97.99620056,271.900000
US-FR3,29.94000053,-97.98999786,232.000000
US-Fuf,35.0890007,-111.762001,2180.000000
US-Fwf,35.44540024,-111.7717972,2270.000000
US-GLE,41.36439896,-106.2394028,3190.000000
US-GMF,41.96670151,-73.23329926,380.000000
US-Goo,34.25469971,-89.87349701,87.000000
US-Ha1,42.53779984,-72.17150116,340.000000
US-Ha2,42.53929901,-72.17790222,360.000000
US-Ho1,45.20410156,-68.74019623,60.000000
US-Ho2,45.20909882,-68.74700165,91.000000
US-Ho3,45.2071991,-68.72499847,61.000000
US-HVa,69.13330078,-148.8329926,349.000000
US-IB1,41.85929871,-88.22270203,226.500000
US-IB2,41.84059906,-88.24099731,226.500000
US-Ivo,68.4865036,-155.75,554.000000
US-Jas,37.40209961,-122.2210007,207.000000
